"id","Antenna...Dish","Type","Applicant","Location","SBL.","Issued","Year","Valuation","Fee.Amount","Location2","lon","lat","Tract"
20,"18284","Electric (Meter Set)","Alfie's Electric","309 Bear St","002.-16-14.0","02/13/2015",2015,100,25,"309 Bear St , Syracuse, New York",-76.162017,43.069192,NA
21,"16364","Electric (Meter Set)","Anthony Cirrincione","415 Bear St & Carbon St","002.-17-08.0","08/12/2014",2014,595,25,"415 Bear St & Carbon St , Syracuse, New York",-76.1604007,43.0709053,NA
22,"14854","Electric (Meter Set)","Michael Spillane","Unit 4 140 Washington Sq & Lemoyne A","002.-18-09.0","04/24/2014",2014,300,25,"Unit 4 140 Washington Sq & Lemoyne A , Syracuse, New York",-76.1575217,43.0774867,NA
23,"22618","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","611 Bear St","002.-20-15.0","01/22/2016",2016,225,25,"611 Bear St , Syracuse, New York",-76.159462,43.0729,NA
24,"13463","Electric (Meter Set)","Gregory Liss","601 Bear St & Spring St","002.-20-18.0","12/05/2013",2013,500,25,"601 Bear St & Spring St , Syracuse, New York",-76.15954,43.0720493,NA
25,"18097","Electric (Meter Set)","Syracuse Three Phase Electric, Inc.","1408 Spring St","002.-20-20.0","01/20/2015",2015,200,25,"1408 Spring St , Syracuse, New York",-76.159908,43.072677,NA
26,"24858","Electric (Meter Set)","CRI Electrical Contractors Inc.","2508 Lodi St","002.-25-17.0","08/11/2016",2016,100,25,"2508 Lodi St , Syracuse, New York",-76.1618704,43.0672381,NA
27,"13439","Electric (Meter Set)","SYRACUSE 3 PHASE ELECTRIC","424 Sunset Ave & Bear St","002.-26-22.0","11/21/2013",2013,700,25,"424 Sunset Ave & Bear St , Syracuse, New York",-76.1634544,43.0667975,NA
28,"17180","Electric (Meter Set)","Bruce Electric Inc","1608 First North St","003.-01-24.1","10/08/2014",2014,500,25,"1608 First North St , Syracuse, New York",-76.162138,43.075028,NA
29,"10351","Electric (Meter Set)","Alfie's Electric","714 Second North St","003.-02-25.0","03/12/2013",2013,0,25,"714 Second North St , Syracuse, New York",-76.16159,43.0763729,NA
30,"18375","Antenna / Dish","G&K Trucking LLC","810 Hiawatha Blvd E & Fourth","003.-04-05.0","02/26/2015",2015,24000,425,"810 Hiawatha Blvd E & Fourth , Syracuse, New York",-76.160577,43.078724,NA
31,"22743","Antenna / Dish","G&K Trucking LLC","810 Hiawatha Blvd E & Fourth","003.-04-05.0","04/22/2016",2016,8000,185,"810 Hiawatha Blvd E & Fourth , Syracuse, New York",-76.160577,43.078724,NA
32,"21090","Electric (Meter Set)","JB Brighton Electric Co. Inc.","210 Sixth North St","003.-05-12.0","10/08/2015",2015,1500,25,"210 Sixth North St , Syracuse, New York",-76.157724,43.081183,NA
33,"16307","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","1108 Wolf St","003.-06-02.0","08/07/2014",2014,175,25,"1108 Wolf St , Syracuse, New York",-76.15663,43.08069,NA
34,"17120","Electric (Meter Set)","Geswaldo & Desocio Inc","602 Second North St & Lemoyne","003.-12-18.0","10/17/2014",2014,100,25,"602 Second North St & Lemoyne , Syracuse, New York",-76.1593127,43.0750812,NA
35,"12644","Electric (Meter Set)","Jethro Baptiste-Jean C/O Dynamax Realty 
INC","709-11 Lemoyne Ave","003.-13-22.0","09/17/2013",2013,375,50,"709-11 Lemoyne Ave , Syracuse, New York",-76.160185,43.074379,NA
36,"12264","Electric (Meter Set)","Steve Cook Electric","1518 First North St","003.-13-31.0","08/26/2013",2013,125,25,"1518 First North St , Syracuse, New York",-76.1612169,43.07458,NA
37,"17835","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","1000-02 Lemoyne Ave & Burdick Ave","003.-17-01.0","12/09/2014",2014,175,50,"1000-02 Lemoyne Ave & Burdick Ave , Syracuse, New York",-76.1571599,43.0779584,NA
38,"14849","Electric (Meter Set)","Geswaldo & Desocio Inc","306 Burdick Ave","003.-17-29.0","04/22/2014",2014,150,25,"306 Burdick Ave , Syracuse, New York",-76.1552126,43.077347,NA
39,"14607","Electric (Meter Set)","MURA ELECTRIC","412 Second North St","003.-22-21.0","04/09/2014",2014,200,25,"412 Second North St , Syracuse, New York",-76.157152,43.074593,NA
40,"20075","Electric (Meter Set)","Patruno Electric Company","1500-02 Lemoyne Ave & Merrill St","004.-08-01.0","07/21/2015",2015,195,25,"1500-02 Lemoyne Ave & Merrill St , Syracuse, New York",-76.150548,43.0820359,NA
41,"10506","Electric (Meter Set)","CRI Electrical Contractors Inc","250 Martin St","004.-09-32.0","04/01/2013",2013,450,25,"250 Martin St , Syracuse, New York",-76.150556,43.08115,NA
42,"25558","Electric (Meter Set)","Patruno Electric Company","1330 Lemoyne Ave","004.-10-05.0","10/14/2016",2016,250,25,"1330 Lemoyne Ave , Syracuse, New York",-76.151545,43.080984,NA
43,"18509","Electric (Meter Set)","Custom Power & DataCom","221 Kenwood Ave","004.-11-08.0","03/13/2015",2015,200,25,"221 Kenwood Ave , Syracuse, New York",-76.1512605,43.0793346,NA
44,"18856","Electric (Meter Set)","Alfie's Electric","116-18 Kenwood Ave","004.-13-26.0","04/24/2015",2015,150,25,"116-18 Kenwood Ave , Syracuse, New York",-76.148443,43.0779681,NA
45,"20142","Electric (Meter Set)","Engler Electric","1601 Court St & Englert Ave To","004.-15-18.1","07/27/2015",2015,3000,25,"1601 Court St , Syracuse, New York",-76.146013,43.079416,NA
46,"24302","Electric (Meter Set)","A & H Electric","327 Malverne Dr","004.-16-08.0","06/10/2016",2016,200,25,"327 Malverne Dr , Syracuse, New York",-76.146165,43.0813245,NA
47,"16663","Electric (Meter Set)","Allied Electric Michael B. Penny","277 Ross Pk","005.-02-07.0","09/09/2014",2014,100,25,"277 Ross Pk , Syracuse, New York",-76.1470942,43.0768792,NA
48,"13880","Electric (Meter Set)","AAV ELECTRICAL CONTRACTING","1624 Court St & Loma Ave","005.-06-03.0","01/17/2014",2014,200,25,"1624 Court St & Loma Ave , Syracuse, New York",-76.1445636,43.0793683,NA
49,"16276","Electric (Meter Set)","Electrical Installations","151 Loma Ave","005.-06-08.0","08/13/2014",2014,700,25,"151 Loma Ave , Syracuse, New York",-76.143827,43.078406,NA
50,"21786","Electric (Meter Set)","Custom Power & DataCom","148 Harding St","005.-17-34.0","11/18/2015",2015,300,25,"148 Harding St , Syracuse, New York",-76.139237,43.079011,NA
51,"13756","Electric (Meter Set)","Bruce Electric Inc","2706 Grant Blvd","006.-03-13.0","12/24/2013",2013,500,25,"2706 Grant Blvd , Syracuse, New York",-76.154158,43.075133,NA
52,"25374","Electric (Meter Set)","Total Electric","129 Seventh North St","006.-08-04.0","10/04/2016",2016,200,25,"129 Seventh North St , Syracuse, New York",-76.1502324,43.0773678,NA
53,"16096","Electric (Meter Set)","Geswaldo & Desocio Inc","1242-44 Court St","006.-09-10.0","08/01/2014",2014,100,25,"1242-44 Court St , Syracuse, New York",-76.148764,43.07674,NA
54,"10453","Antenna / Dish","Syr Housing Authority","947 Pond St","006.-12-53.0","03/13/2013",2013,22000,395,"947 Pond St , Syracuse, New York",-76.148154,43.07201,NA
55,"11437","Antenna / Dish","Syracuse Housing Authority","947 Pond St","006.-12-53.0","07/09/2013",2013,5000,140,"947 Pond St , Syracuse, New York",-76.148154,43.07201,NA
56,"15478","Antenna / Dish","Syr Housing Authority","947 Pond St","006.-12-53.0","06/23/2014",2014,25000,440,"947 Pond St , Syracuse, New York",-76.148154,43.07201,NA
57,"18638","Electric (Meter Set)","Michael Spillane","133 Delong Ave","006.-12-79.0","03/23/2015",2015,300,25,"133 Delong Ave , Syracuse, New York",-76.149418,43.071625,NA
58,"16185","Electric (Meter Set)","Malinow LLC","822-24 Kirkpatrick St","006.-13-08.0","07/28/2014",2014,250,25,"822-24 Kirkpatrick St , Syracuse, New York",-76.151049,43.071714,NA
59,"21785","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","151 Culbert St","006.-13-45.0","11/18/2015",2015,225,25,"151 Culbert St , Syracuse, New York",-76.149886,43.072639,NA
60,"21925","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","904 First North St","006.-13-71.0","11/23/2015",2015,225,25,"904 First North St , Syracuse, New York",-76.15149,43.070703,NA
61,"15007","Electric (Meter Set)","Michael Spillane","1000 Danforth St & Second Nort","006.-15-01.0","05/06/2014",2014,300,25,"1000 Danforth St & Second Nort , Syracuse, New York",-76.152998,43.072538,NA
62,"16451","Electric (Meter Set)","Myriad Construction John Jaworski","712 Court St","006.-18-05.0","08/20/2014",2014,125,25,"712 Court St , Syracuse, New York",-76.154571,43.072731,NA
63,"21578","Electric (Meter Set)","Michael Spillane","919 Danforth St & Second Nort","006.-18-13.0","11/09/2015",2015,300,25,"919 Danforth St & Second Nort , Syracuse, New York",-76.152998,43.072538,NA
64,"12268","Electric (Meter Set)","Geswaldo & Desocio Inc","132 Turtle St & Sunset Ave","007.-01-01.0","08/26/2013",2013,100,25,"132 Turtle St & Sunset Ave , Syracuse, New York",-76.1619864,43.0661265,NA
65,"21002","Electric (Meter Set)","Santino Crisafulli","320 Sunset Ave","007.-01-26.0","10/07/2015",2015,100,25,"320 Sunset Ave , Syracuse, New York",-76.161495,43.066169,NA
66,"18858","Electric (Meter Set)","Yonki Electric","208 Turtle St To Cummings Ave","007.-02-02.0","04/23/2015",2015,200,25,"208 Turtle St, Syracuse, New York",-76.1609192,43.0671895,NA
67,"22753","Electric (Meter Set)","Yonki Electric","208 Turtle St To Cummings Ave","007.-02-02.0","02/29/2016",2016,75,25,"208 Turtle St, Syracuse, New York",-76.1609192,43.0671895,NA
68,"16882","Electric (Meter Set)","DC Electric","109 Cummings Ave","007.-03-01.0","09/23/2014",2014,200,25,"109 Cummings Ave , Syracuse, New York",-76.160635,43.0670843,NA
69,"18847","Electric (Meter Set)","Patruno Electric Company","1504 Park St","007.-06-14.0","04/17/2015",2015,400,25,"1504 Park St , Syracuse, New York",-76.158649,43.069171,NA
70,"10355","Electric (Meter Set)","Geswaldo & Desocio Inc","514 Turtle St & Spring St","007.-07-06.0","03/12/2013",2013,500,25,"514 Turtle St & Spring St , Syracuse, New York",-76.158008,43.071422,NA
71,"12648","Electric (Meter Set)","Gary Markert","527-29 Court St","007.-07-12.0","09/19/2013",2013,1100,483,"527-29 Court St , Syracuse, New York",-76.157135,43.070551,NA
72,"15839","Electric (Meter Set)","Summit Electric & Communication","912 Carbon St","007.-07-21.0","07/10/2014",2014,300,25,"912 Carbon St , Syracuse, New York",-76.1582283,43.070272,NA
73,"15789","Electric (Meter Set)","Patruno Electric Company","Unit 4 610 Turtle St","007.-08-04.0","07/02/2014",2014,250,25,"Unit 4 610 Turtle St , Syracuse, New York",-76.157065,43.071953,NA
74,"17631","Electric (Meter Set)","Geswaldo & Desocio Inc","Unit 3 610 Turtle St","007.-08-04.0","12/03/2014",2014,100,25,"Unit 3 610 Turtle St , Syracuse, New York",-76.157065,43.071953,NA
75,"18358","Electric (Meter Set)","L & S Electric","600 Court St & Spring St","007.-09-01.0","03/03/2015",2015,100,25,"600 Court St & Spring St , Syracuse, New York",-76.1564369,43.0708012,NA
76,"21573","Electric (Meter Set)","Lawrence Kinney","1409 Park St","007.-12-07.0","11/05/2015",2015,100,25,"1409 Park St , Syracuse, New York",-76.1577439,43.068021,NA
77,"13764","Electric (Meter Set)","GHEZZI ELECTRICAL","515 Danforth St","007.-12-12.0","12/30/2013",2013,1500,25,"515 Danforth St , Syracuse, New York",-76.157136,43.067664,NA
78,"24325","Electric (Meter Set)","Patruno Electric Company","906 Alvord St N","007.-12-18.0","06/30/2016",2016,225,25,"906 Alvord St N , Syracuse, New York",-76.157783,43.067214,NA
79,"15784","Electric (Meter Set)","City Of Syr Parks-Bennett","1200 Salina St N & Danforth St","007.-13-08.0","06/30/2014",2014,0,0,"1200 Salina St N & Danforth St , Syracuse, New York",-76.1578482,43.0660477,NA
80,"21504","Electric (Meter Set)","Geswaldo Electric, Inc.","1511 State St N","007.-14-11.0","11/04/2015",2015,100,25,"1511 State St N , Syracuse, New York",-76.159239,43.065496,NA
81,"19994","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","209 Kirkpatrick St","007.-17-16.0","07/13/2015",2015,300,50,"209 Kirkpatrick St , Syracuse, New York",-76.15738,43.064395,NA
82,"25466","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","406 Danforth St","007.-19-01.0","09/27/2016",2016,225,25,"406 Danforth St , Syracuse, New York",-76.15715,43.066139,NA
83,"24491","Electric (Meter Set)","Michael Spillane","815-17 Alvord St N","007.-19-05.0","07/05/2016",2016,300,25,"815-17 Alvord St N , Syracuse, New York",-76.156746,43.066203,NA
84,"25372","Electric (Meter Set)","FYM Logic Inc.","804 Alvord St N","007.-20-22.0","10/03/2016",2016,50,25,"804 Alvord St N , Syracuse, New York",-76.1559879,43.066456,NA
85,"17890","Electric (Meter Set)","Steve Cook Electric","806 Alvord St N","007.-20-23.0","12/22/2014",2014,150,25,"806 Alvord St N , Syracuse, New York",-76.1561842,43.0664397,NA
86,"23308","Electric (Meter Set)","Power Comm Electric","700 Danforth St & Carbon St","007.-22-01.0","03/30/2016",2016,100,25,"700 Danforth St & Carbon St , Syracuse, New York",-76.155639,43.068985,NA
87,"19496","Electric (Meter Set)","SYRACUSE 3 PHASE ELECTRIC","609 Kirkpatrick St","007.-22-11.0","06/04/2015",2015,200,25,"609 Kirkpatrick St , Syracuse, New York",-76.1540232,43.0689506,NA
88,"25169","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","809 First North St","007.-24-09.0","09/13/2016",2016,300,25,"809 First North St , Syracuse, New York",-76.1512584,43.0700185,NA
89,"21748","Electric (Meter Set)","Michael Spillane","108 Lawrence St","007.-24-33.0","11/10/2015",2015,200,25,"108 Lawrence St , Syracuse, New York",-76.1501306,43.0692584,NA
90,"22463","Electric (Meter Set)","Michael Spillane","108 Lawrence St","007.-24-33.0","01/21/2016",2016,300,25,"108 Lawrence St , Syracuse, New York",-76.1501306,43.0692584,NA
91,"18498","Electric (Meter Set)","Michael Spillane","122 Lawrence St","007.-24-40.0","03/11/2015",2015,300,25,"122 Lawrence St , Syracuse, New York",-76.150869,43.069575,NA
92,"15356","Electric (Meter Set)","Syracuse Three Phase Electric, Inc.","700 Kirkpatrick St & Spring S","007.-25-01.0","05/29/2014",2014,300,75,"700 Kirkpatrick St & Spring S , Syracuse, New York",-76.1531333,43.0695002,NA
93,"13812","Electric (Meter Set)","Lawrence Davis","707 Pond St","007.-25-27.0","12/30/2013",2013,250,25,"707 Pond St , Syracuse, New York",-76.149839,43.068715,NA
94,"22158","Electric (Meter Set)","Myriad Construction","707 Spring St","007.-26-05.0","12/07/2015",2015,100,25,"707 Spring St , Syracuse, New York",-76.150972,43.068311,NA
95,"23498","Electric (Meter Set)","Total Electric","707 Spring St","007.-26-05.0","04/20/2016",2016,200,25,"707 Spring St , Syracuse, New York",-76.150972,43.068311,NA
96,"11162","Electric (Meter Set)","Leonard Dyer","103 Pond Ln","007.-27-19.0","05/21/2013",2013,100,25,"103 Pond Ln , Syracuse, New York",-76.151092,43.067636,NA
97,"17106","Electric (Meter Set)","Michael Spillane","Unit 5 601 Carbon St & Pond St","007.-29-22.0","10/09/2014",2014,200,25,"Unit 5 601 Carbon St & Pond St , Syracuse, New York",-76.1507048,43.0670145,NA
98,"16655","Electric (Meter Set)","CRI Electrical Contractors Inc","1216 Park St","007.-29-32.0","09/05/2014",2014,100,25,"1216 Park St , Syracuse, New York",-76.1524178,43.0666564,NA
99,"09796","Electric (Meter Set)","George Sutton Electric","1252 Park St & Kirkpatrick St","007.-29-45.0","01/16/2013",2013,75,25,"1252 Park St & Kirkpatrick St , Syracuse, New York",-76.1548693,43.0672179,NA
100,"13599","Electric (Meter Set)","Ludvico Electric Inc","413 Pond St & Park St","007.-30-27.0","12/10/2013",2013,200,25,"413 Pond St & Park St , Syracuse, New York",-76.1515112,43.0659045,NA
101,"23301","Electric (Meter Set)","Steve Cook Electric","401 Pond St & Steuben St","007.-30-32.0","04/04/2016",2016,200,25,"401 Pond St & Steuben St , Syracuse, New York",-76.151973,43.065294,NA
102,"18092","Electric (Meter Set)","DC Electric","732 Alvord St N","007.-31-44.0","01/15/2015",2015,250,25,"732 Alvord St N , Syracuse, New York",-76.154171,43.065667,NA
103,"13776","Electric (Meter Set)","Patruno Electric Company","733 Alvord St N","007.-32-13.0","01/07/2014",2014,500,25,"733 Alvord St N , Syracuse, New York",-76.15441,43.065253,NA
104,"13333","Electric (Meter Set)","Leon Ghezzi","729 Alvord St N","007.-32-15.0","11/12/2013",2013,500,25,"729 Alvord St N , Syracuse, New York",-76.1541706,43.065224,NA
105,"13884","Electric (Meter Set)","DC Electric","220 Lilac St","007.-32-34.0","01/21/2014",2014,300,25,"220 Lilac St , Syracuse, New York",-76.153613,43.064625,NA
106,"14054","Electric (Meter Set)","UCEC","221 Lilac St","007.-33-15.0","02/05/2014",2014,200,25,"221 Lilac St , Syracuse, New York",-76.1538846,43.064262,NA
107,"10826","Electric (Meter Set)","Myriad Construction John Jaworski","910-12 Salina St N","007.-34-21.0","04/18/2013",2013,83,25,"910-12 Salina St N , Syracuse, New York",-76.155017,43.063533,NA
108,"21294","Electric (Meter Set)","JAS Electric Inc.  dba Stagnitta Electric","1204 State St N","007.-35-23.0","10/16/2015",2015,225,25,"1204 State St N , Syracuse, New York",-76.156204,43.062799,NA
109,"24996","Electric (Meter Set)","Kelley Electric","1204 State St N","007.-35-23.0","08/25/2016",2016,200,25,"1204 State St N , Syracuse, New York",-76.156204,43.062799,NA
110,"23306","Electric (Meter Set)","DC Electric","108 Isabella St","008.-01-01.0","04/06/2016",2016,200,25,"108 Isabella St , Syracuse, New York",-76.1558809,43.062424,NA
111,"21087","Electric (Meter Set)","FYM Logic","855-57 Salina St N & Isabella St","008.-01-05.0","10/08/2015",2015,100,25,"855-57 Salina St N & Isabella St , Syracuse, New York",-76.155059,43.062955,NA
112,"13140","Electric (Meter Set)","Geswaldo & Desocio Inc","1120 State St N","008.-01-30.1","10/31/2013",2013,100,25,"1120 State St N , Syracuse, New York",-76.155595,43.0621409,NA
113,"16672","Electric (Meter Set)","L & S Electric","1128 State St N","008.-01-34.0","09/11/2014",2014,100,25,"1128 State St N , Syracuse, New York",-76.155957,43.062334,NA
114,"24290","Electric (Meter Set)","SYRACUSE 3 PHASE ELECTRIC","215-21 Catawba St & Townsend St","008.-02-03.0","06/24/2016",2016,150,25,"215-21 Catawba St & Townsend St , Syracuse, New York",-76.152854,43.062253,NA
115,"13077","Antenna / Dish","Church-Order Minor","812 Salina St N To Isabella S","008.-02-06.0","10/30/2013",2013,15000,290,"812 Salina St N, Syracuse, New York",-76.154036,43.062549,NA
116,"15780","Electric (Meter Set)","Steve Cook Electric","1901 Lodi St & Catawba St","008.-03-04.0","06/27/2014",2014,125,25,"1901 Lodi St & Catawba St , Syracuse, New York",-76.1520606,43.062627,NA
117,"19413","Electric (Meter Set)","Steve Cook Electric","1901 Lodi St & Catawba St","008.-03-04.0","09/09/2015",2015,150,25,"1901 Lodi St & Catawba St , Syracuse, New York",-76.1520606,43.062627,NA
118,"20354","Electric (Meter Set)","Steve Cook Electric","1901 Lodi St & Catawba St","008.-03-04.0","08/07/2015",2015,125,25,"1901 Lodi St & Catawba St , Syracuse, New York",-76.1520606,43.062627,NA
119,"14284","Electric (Meter Set)","L & S Electric","1008 Townsend St N","008.-04-25.0","03/04/2014",2014,150,25,"1008 Townsend St N , Syracuse, New York",-76.1519916,43.0615791,NA
120,"17782","Electric (Meter Set)","Patruno Electric Company","319 Division St E & Townsend","008.-05-10.0","12/05/2014",2014,250,25,"319 Division St E & Townsend , Syracuse, New York",-76.151875,43.061032,NA
121,"19115","Electric (Meter Set)","L & S Electric","713-15 Salina St N To Lock Aly","008.-07-11.0","05/08/2015",2015,100,0,"713-15 Salina St N, Syracuse, New York",-76.153709,43.060619,NA
122,"20357","Electric (Meter Set)","Michael Spillane","1022-28 State St N To Lock Aly","008.-08-16.0","08/11/2015",2015,250,25,"1022-28 State St N, Syracuse, New York",-76.154669,43.060878,NA
123,"15653","Electric (Meter Set)","Ghezzi Electric","924 State St N","008.-10-22.0","06/17/2014",2014,100,25,"924 State St N , Syracuse, New York",-76.153637,43.0596419,NA
124,"23156","Electric (Meter Set)","Steve Cook Electric","924 State St N","008.-10-22.0","03/30/2016",2016,150,25,"924 State St N , Syracuse, New York",-76.153637,43.0596419,NA
125,"24798","Electric (Meter Set)","Nu-tech Electrical of CNY Inc.","207 Ash St","008.-11-13.0","08/03/2016",2016,100,25,"207 Ash St , Syracuse, New York",-76.151571,43.059741,NA
126,"22451","Electric (Meter Set)","SYRACUSE 3 PHASE ELECTRIC","600-06 Salina St N & Ash St","008.-11-15.0","01/14/2016",2016,200,25,"600-06 Salina St N & Ash St , Syracuse, New York",-76.152157,43.05929,NA
127,"14137","Electric (Meter Set)","Stagnitta Electric","416 Division St E","008.-12-05.0","02/10/2014",2014,175,25,"416 Division St E , Syracuse, New York",-76.1509192,43.0612327,NA
128,"13517","Electric (Meter Set)","Patruno Electric Company","422 Division St E & Mc Bride","008.-12-06.0","11/22/2013",2013,190,25,"422 Division St E & Mc Bride , Syracuse, New York",-76.150702,43.061529,NA
129,"20362","Electric (Meter Set)","Geswaldo & Desocio Inc","908 Mcbride St N","008.-14-18.0","08/12/2015",2015,100,25,"908 Mcbride St N , Syracuse, New York",-76.148792,43.059536,NA
130,"09613","Electric (Meter Set)","SYRACUSE 3 PHASE ELECTRIC","539 Salina St N","008.-19-10.0","12/31/2012",2012,300,50,"539 Salina St N , Syracuse, New York",-76.152467,43.058441,NA
131,"13671","Electric (Meter Set)","Rod Osborne","107 Mary St","009.-01-20.0","12/27/2013",2013,100,25,"107 Mary St , Syracuse, New York",-76.150867,43.062979,NA
132,"16887","Electric (Meter Set)","Geswaldo & Desocio Inc","1900 Lodi St","009.-01-31.0","09/25/2014",2014,100,25,"1900 Lodi St , Syracuse, New York",-76.151919,43.062945,NA
133,"11702","Electric (Meter Set)","Geswaldo & Desocio Inc","1902 Lodi St","009.-01-32.0","07/10/2013",2013,300,50,"1902 Lodi St , Syracuse, New York",-76.1521145,43.0629338,NA
134,"25543","Electric (Meter Set)","Alfie's Electric","124-26 Lilac St","009.-02-32.0","10/13/2016",2016,150,25,"124-26 Lilac St , Syracuse, New York",-76.151191,43.063688,NA
135,"25258","Electric (Meter Set)","Michael Spillane","136-38 Lilac St","009.-02-35.0","09/26/2016",2016,250,25,"136-38 Lilac St , Syracuse, New York",-76.151568,43.0638379,NA
136,"23152","Electric (Meter Set)","1118 Park St LLC","1118 Park St To Strand Pl","009.-04-11.0","03/30/2016",2016,125,25,"1118 Park St, Syracuse, New York",-76.1524926,43.0665663,NA
137,"23788","Electric (Meter Set)","Geswaldo & Desocio Inc.","1118 Park St To Strand Pl","009.-04-11.0","05/12/2016",2016,121,25,"1118 Park St, Syracuse, New York",-76.1524926,43.0665663,NA
138,"19679","Electric (Meter Set)","Geswaldo & Desocio Inc","512 Pond St","009.-05-07.0","06/10/2015",2015,500,50,"512 Pond St , Syracuse, New York",-76.150667,43.066433,NA
139,"25069","Electric (Meter Set)","Total Electric","1126 Park St","009.-05-43.0","09/01/2016",2016,200,25,"1126 Park St , Syracuse, New York",-76.150619,43.065846,NA
140,"16939","Electric (Meter Set)","Michael Spillane","404 Spring St","009.-08-14.0","10/02/2014",2014,300,25,"404 Spring St , Syracuse, New York",-76.1485551,43.0673673,NA
141,"22101","Electric (Meter Set)","Jim Cummings","720-22 Pond St","009.-10-02.0","12/01/2015",2015,250,25,"720-22 Pond St , Syracuse, New York",-76.149016,43.068674,NA
